Numero_Secuencial,Mesa_ID,Ruta,Estado
79,100434,ACTAS_EXTRANJERAS_1000\acta_extranjera_0079.jpg,OK
74,100384,ACTAS_EXTRANJERAS_1000\acta_extranjera_0074.jpg,OK
76,100404,ACTAS_EXTRANJERAS_1000\acta_extranjera_0076.jpg,OK
82,100044,ACTAS_EXTRANJERAS_1000\acta_extranjera_0082.jpg,OK
80,100024,ACTAS_EXTRANJERAS_1000\acta_extranjera_0080.jpg,OK
81,100034,ACTAS_EXTRANJERAS_1000\acta_extranjera_0081.jpg,OK
75,100394,ACTAS_EXTRANJERAS_1000\acta_extranjera_0075.jpg,OK
83,100054,ACTAS_EXTRANJERAS_1000\acta_extranjera_0083.jpg,OK
84,100064,ACTAS_EXTRANJERAS_1000\acta_extranjera_0084.jpg,OK
85,100074,ACTAS_EXTRANJERAS_1000\acta_extranjera_0085.jpg,OK
86,100084,ACTAS_EXTRANJERAS_1000\acta_extranjera_0086.jpg,OK
88,100104,ACTAS_EXTRANJERAS_1000\acta_extranjera_0088.jpg,OK
89,100114,ACTAS_EXTRANJERAS_1000\acta_extranjera_0089.jpg,OK
87,100094,ACTAS_EXTRANJERAS_1000\acta_extranjera_0087.jpg,OK
90,101234,ACTAS_EXTRANJERAS_1000\acta_extranjera_0090.jpg,OK
91,101244,ACTAS_EXTRANJERAS_1000\acta_extranjera_0091.jpg,OK
92,101254,ACTAS_EXTRANJERAS_1000\acta_extranjera_0092.jpg,OK
93,101264,ACTAS_EXTRANJERAS_1000\acta_extranjera_0093.jpg,OK
94,101274,ACTAS_EXTRANJERAS_1000\acta_extranjera_0094.jpg,OK
99,102874,ACTAS_EXTRANJERAS_1000\acta_extranjera_0099.jpg,OK
95,101284,ACTAS_EXTRANJERAS_1000\acta_extranjera_0095.jpg,OK
96,101294,ACTAS_EXTRANJERAS_1000\acta_extranjera_0096.jpg,OK
97,101304,ACTAS_EXTRANJERAS_1000\acta_extranjera_0097.jpg,OK
98,101314,ACTAS_EXTRANJERAS_1000\acta_extranjera_0098.jpg,OK
100,102884,ACTAS_EXTRANJERAS_1000\acta_extranjera_0100.jpg,OK
101,102894,ACTAS_EXTRANJERAS_1000\acta_extranjera_0101.jpg,OK
103,102914,ACTAS_EXTRANJERAS_1000\acta_extranjera_0103.jpg,OK
106,102944,ACTAS_EXTRANJERAS_1000\acta_extranjera_0106.jpg,OK
105,102934,ACTAS_EXTRANJERAS_1000\acta_extranjera_0105.jpg,OK
102,102904,ACTAS_EXTRANJERAS_1000\acta_extranjera_0102.jpg,OK
104,102924,ACTAS_EXTRANJERAS_1000\acta_extranjera_0104.jpg,OK
107,102954,ACTAS_EXTRANJERAS_1000\acta_extranjera_0107.jpg,OK
108,102964,ACTAS_EXTRANJERAS_1000\acta_extranjera_0108.jpg,OK
109,102974,ACTAS_EXTRANJERAS_1000\acta_extranjera_0109.jpg,OK
111,103774,ACTAS_EXTRANJERAS_1000\acta_extranjera_0111.jpg,OK
113,103794,ACTAS_EXTRANJERAS_1000\acta_extranjera_0113.jpg,OK
112,103784,ACTAS_EXTRANJERAS_1000\acta_extranjera_0112.jpg,OK
110,103764,ACTAS_EXTRANJERAS_1000\acta_extranjera_0110.jpg,OK
114,103804,ACTAS_EXTRANJERAS_1000\acta_extranjera_0114.jpg,OK
115,103814,ACTAS_EXTRANJERAS_1000\acta_extranjera_0115.jpg,OK
119,101714,ACTAS_EXTRANJERAS_1000\acta_extranjera_0119.jpg,OK
118,101704,ACTAS_EXTRANJERAS_1000\acta_extranjera_0118.jpg,OK
117,103834,ACTAS_EXTRANJERAS_1000\acta_extranjera_0117.jpg,OK
116,103824,ACTAS_EXTRANJERAS_1000\acta_extranjera_0116.jpg,OK
120,101724,ACTAS_EXTRANJERAS_1000\acta_extranjera_0120.jpg,OK
122,101744,ACTAS_EXTRANJERAS_1000\acta_extranjera_0122.jpg,OK
121,101734,ACTAS_EXTRANJERAS_1000\acta_extranjera_0121.jpg,OK
123,101754,ACTAS_EXTRANJERAS_1000\acta_extranjera_0123.jpg,OK
124,102354,ACTAS_EXTRANJERAS_1000\acta_extranjera_0124.jpg,OK
129,102314,ACTAS_EXTRANJERAS_1000\acta_extranjera_0129.jpg,OK
125,102364,ACTAS_EXTRANJERAS_1000\acta_extranjera_0125.jpg,OK
126,102374,ACTAS_EXTRANJERAS_1000\acta_extranjera_0126.jpg,OK
128,102304,ACTAS_EXTRANJERAS_1000\acta_extranjera_0128.jpg,OK
130,102324,ACTAS_EXTRANJERAS_1000\acta_extranjera_0130.jpg,OK
127,102294,ACTAS_EXTRANJERAS_1000\acta_extranjera_0127.jpg,OK
131,102334,ACTAS_EXTRANJERAS_1000\acta_extranjera_0131.jpg,OK
132,102344,ACTAS_EXTRANJERAS_1000\acta_extranjera_0132.jpg,OK
133,102234,ACTAS_EXTRANJERAS_1000\acta_extranjera_0133.jpg,OK
134,102244,ACTAS_EXTRANJERAS_1000\acta_extranjera_0134.jpg,OK
135,102254,ACTAS_EXTRANJERAS_1000\acta_extranjera_0135.jpg,OK
137,102274,ACTAS_EXTRANJERAS_1000\acta_extranjera_0137.jpg,OK
138,102284,ACTAS_EXTRANJERAS_1000\acta_extranjera_0138.jpg,OK
136,102264,ACTAS_EXTRANJERAS_1000\acta_extranjera_0136.jpg,OK
139,102204,ACTAS_EXTRANJERAS_1000\acta_extranjera_0139.jpg,OK
140,102214,ACTAS_EXTRANJERAS_1000\acta_extranjera_0140.jpg,OK
141,102224,ACTAS_EXTRANJERAS_1000\acta_extranjera_0141.jpg,OK
142,103964,ACTAS_EXTRANJERAS_1000\acta_extranjera_0142.jpg,OK
145,102994,ACTAS_EXTRANJERAS_1000\acta_extranjera_0145.jpg,OK
144,102984,ACTAS_EXTRANJERAS_1000\acta_extranjera_0144.jpg,OK
143,103974,ACTAS_EXTRANJERAS_1000\acta_extranjera_0143.jpg,OK
147,103014,ACTAS_EXTRANJERAS_1000\acta_extranjera_0147.jpg,OK
146,103004,ACTAS_EXTRANJERAS_1000\acta_extranjera_0146.jpg,OK
148,103024,ACTAS_EXTRANJERAS_1000\acta_extranjera_0148.jpg,OK
151,103054,ACTAS_EXTRANJERAS_1000\acta_extranjera_0151.jpg,OK
150,103044,ACTAS_EXTRANJERAS_1000\acta_extranjera_0150.jpg,OK
152,103064,ACTAS_EXTRANJERAS_1000\acta_extranjera_0152.jpg,OK
149,103034,ACTAS_EXTRANJERAS_1000\acta_extranjera_0149.jpg,OK
153,103074,ACTAS_EXTRANJERAS_1000\acta_extranjera_0153.jpg,OK
154,103084,ACTAS_EXTRANJERAS_1000\acta_extranjera_0154.jpg,OK
155,103094,ACTAS_EXTRANJERAS_1000\acta_extranjera_0155.jpg,OK
159,103874,ACTAS_EXTRANJERAS_1000\acta_extranjera_0159.jpg,OK
158,103864,ACTAS_EXTRANJERAS_1000\acta_extranjera_0158.jpg,OK
156,103844,ACTAS_EXTRANJERAS_1000\acta_extranjera_0156.jpg,OK
157,103854,ACTAS_EXTRANJERAS_1000\acta_extranjera_0157.jpg,OK
160,103884,ACTAS_EXTRANJERAS_1000\acta_extranjera_0160.jpg,OK
161,103894,ACTAS_EXTRANJERAS_1000\acta_extranjera_0161.jpg,OK
162,103904,ACTAS_EXTRANJERAS_1000\acta_extranjera_0162.jpg,OK
163,103914,ACTAS_EXTRANJERAS_1000\acta_extranjera_0163.jpg,OK
165,103934,ACTAS_EXTRANJERAS_1000\acta_extranjera_0165.jpg,OK
166,103944,ACTAS_EXTRANJERAS_1000\acta_extranjera_0166.jpg,OK
164,103924,ACTAS_EXTRANJERAS_1000\acta_extranjera_0164.jpg,OK
167,103954,ACTAS_EXTRANJERAS_1000\acta_extranjera_0167.jpg,OK
168,100814,ACTAS_EXTRANJERAS_1000\acta_extranjera_0168.jpg,OK
170,100834,ACTAS_EXTRANJERAS_1000\acta_extranjera_0170.jpg,OK
171,100844,ACTAS_EXTRANJERAS_1000\acta_extranjera_0171.jpg,OK
169,100824,ACTAS_EXTRANJERAS_1000\acta_extranjera_0169.jpg,OK
172,100854,ACTAS_EXTRANJERAS_1000\acta_extranjera_0172.jpg,OK
174,101654,ACTAS_EXTRANJERAS_1000\acta_extranjera_0174.jpg,OK
173,100864,ACTAS_EXTRANJERAS_1000\acta_extranjera_0173.jpg,OK
176,101674,ACTAS_EXTRANJERAS_1000\acta_extranjera_0176.jpg,OK
178,101694,ACTAS_EXTRANJERAS_1000\acta_extranjera_0178.jpg,OK
179,101024,ACTAS_EXTRANJERAS_1000\acta_extranjera_0179.jpg,OK
180,101034,ACTAS_EXTRANJERAS_1000\acta_extranjera_0180.jpg,OK
175,101664,ACTAS_EXTRANJERAS_1000\acta_extranjera_0175.jpg,OK
181,101044,ACTAS_EXTRANJERAS_1000\acta_extranjera_0181.jpg,OK
182,101054,ACTAS_EXTRANJERAS_1000\acta_extranjera_0182.jpg,OK
177,101684,ACTAS_EXTRANJERAS_1000\acta_extranjera_0177.jpg,OK
184,101074,ACTAS_EXTRANJERAS_1000\acta_extranjera_0184.jpg,OK
183,101064,ACTAS_EXTRANJERAS_1000\acta_extranjera_0183.jpg,OK
185,101084,ACTAS_EXTRANJERAS_1000\acta_extranjera_0185.jpg,OK
187,101824,ACTAS_EXTRANJERAS_1000\acta_extranjera_0187.jpg,OK
186,101094,ACTAS_EXTRANJERAS_1000\acta_extranjera_0186.jpg,OK
188,101834,ACTAS_EXTRANJERAS_1000\acta_extranjera_0188.jpg,OK
190,101854,ACTAS_EXTRANJERAS_1000\acta_extranjera_0190.jpg,OK
189,101844,ACTAS_EXTRANJERAS_1000\acta_extranjera_0189.jpg,OK
191,101864,ACTAS_EXTRANJERAS_1000\acta_extranjera_0191.jpg,OK
194,101784,ACTAS_EXTRANJERAS_1000\acta_extranjera_0194.jpg,OK
192,101764,ACTAS_EXTRANJERAS_1000\acta_extranjera_0192.jpg,OK
193,101774,ACTAS_EXTRANJERAS_1000\acta_extranjera_0193.jpg,OK
195,101794,ACTAS_EXTRANJERAS_1000\acta_extranjera_0195.jpg,OK
196,101804,ACTAS_EXTRANJERAS_1000\acta_extranjera_0196.jpg,OK
198,101104,ACTAS_EXTRANJERAS_1000\acta_extranjera_0198.jpg,OK
197,101814,ACTAS_EXTRANJERAS_1000\acta_extranjera_0197.jpg,OK
199,101114,ACTAS_EXTRANJERAS_1000\acta_extranjera_0199.jpg,OK
203,101324,ACTAS_EXTRANJERAS_1000\acta_extranjera_0203.jpg,OK
200,101124,ACTAS_EXTRANJERAS_1000\acta_extranjera_0200.jpg,OK
201,101134,ACTAS_EXTRANJERAS_1000\acta_extranjera_0201.jpg,OK
204,101334,ACTAS_EXTRANJERAS_1000\acta_extranjera_0204.jpg,OK
202,101144,ACTAS_EXTRANJERAS_1000\acta_extranjera_0202.jpg,OK
205,101344,ACTAS_EXTRANJERAS_1000\acta_extranjera_0205.jpg,OK
206,101354,ACTAS_EXTRANJERAS_1000\acta_extranjera_0206.jpg,OK
209,101384,ACTAS_EXTRANJERAS_1000\acta_extranjera_0209.jpg,OK
210,101394,ACTAS_EXTRANJERAS_1000\acta_extranjera_0210.jpg,OK
211,101404,ACTAS_EXTRANJERAS_1000\acta_extranjera_0211.jpg,OK
207,101364,ACTAS_EXTRANJERAS_1000\acta_extranjera_0207.jpg,OK
208,101374,ACTAS_EXTRANJERAS_1000\acta_extranjera_0208.jpg,OK
212,103164,ACTAS_EXTRANJERAS_1000\acta_extranjera_0212.jpg,OK
213,103174,ACTAS_EXTRANJERAS_1000\acta_extranjera_0213.jpg,OK
214,103184,ACTAS_EXTRANJERAS_1000\acta_extranjera_0214.jpg,OK
215,103104,ACTAS_EXTRANJERAS_1000\acta_extranjera_0215.jpg,OK
216,103114,ACTAS_EXTRANJERAS_1000\acta_extranjera_0216.jpg,OK
218,103134,ACTAS_EXTRANJERAS_1000\acta_extranjera_0218.jpg,OK
217,103124,ACTAS_EXTRANJERAS_1000\acta_extranjera_0217.jpg,OK
219,103144,ACTAS_EXTRANJERAS_1000\acta_extranjera_0219.jpg,OK
220,103154,ACTAS_EXTRANJERAS_1000\acta_extranjera_0220.jpg,OK
224,101504,ACTAS_EXTRANJERAS_1000\acta_extranjera_0224.jpg,OK
223,104004,ACTAS_EXTRANJERAS_1000\acta_extranjera_0223.jpg,OK
225,101514,ACTAS_EXTRANJERAS_1000\acta_extranjera_0225.jpg,OK
226,101524,ACTAS_EXTRANJERAS_1000\acta_extranjera_0226.jpg,OK
222,103994,ACTAS_EXTRANJERAS_1000\acta_extranjera_0222.jpg,OK
221,103984,ACTAS_EXTRANJERAS_1000\acta_extranjera_0221.jpg,OK
227,101534,ACTAS_EXTRANJERAS_1000\acta_extranjera_0227.jpg,OK
228,101544,ACTAS_EXTRANJERAS_1000\acta_extranjera_0228.jpg,OK
232,101584,ACTAS_EXTRANJERAS_1000\acta_extranjera_0232.jpg,OK
229,101554,ACTAS_EXTRANJERAS_1000\acta_extranjera_0229.jpg,OK
231,101574,ACTAS_EXTRANJERAS_1000\acta_extranjera_0231.jpg,OK
230,101564,ACTAS_EXTRANJERAS_1000\acta_extranjera_0230.jpg,OK
233,101594,ACTAS_EXTRANJERAS_1000\acta_extranjera_0233.jpg,OK
234,100664,ACTAS_EXTRANJERAS_1000\acta_extranjera_0234.jpg,OK
235,100674,ACTAS_EXTRANJERAS_1000\acta_extranjera_0235.jpg,OK
236,100684,ACTAS_EXTRANJERAS_1000\acta_extranjera_0236.jpg,OK
237,100694,ACTAS_EXTRANJERAS_1000\acta_extranjera_0237.jpg,OK
239,100614,ACTAS_EXTRANJERAS_1000\acta_extranjera_0239.jpg,OK
238,100604,ACTAS_EXTRANJERAS_1000\acta_extranjera_0238.jpg,OK
